Rank,Release Group,Worldwide,Domestic,%,Foreign,%
159,What's Your Number?,"$30,426,096","$14,011,084",46%,"$16,415,012",54%
160,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,"$30,236,973",-,-,"$30,236,973",100%
161,Eternal Moment,"$30,186,159",-,-,"$30,186,159",100%
162,The Rum Diary,"$30,134,958","$13,109,815",43.5%,"$17,025,143",56.5%
163,My Own Swordsman,"$30,082,188",-,-,"$30,082,188",100%
164,You Are the Apple of My Eye,"$29,843,025",-,-,"$29,843,025",100%
165,Torrente 4,"$29,737,384",-,-,"$29,737,384",100%
166,The Sorcerer and the White Snake,"$29,649,716",-,-,"$29,649,716",100%
167,Unfair: The Answer,"$29,166,054",-,-,"$29,166,054",100%
168,Dragon,"$29,140,858",-,-,"$29,140,858",100%
169,Yolki 2,"$28,719,002",-,-,"$28,719,002",100%
170,Your Highness,"$28,013,733","$21,596,445",77.1%,"$6,417,288",22.9%
171,Love Strikes!,"$27,707,149",-,-,"$27,707,149",100%
172,The Women on the 6th Floor,"$27,533,970","$719,823",2.6%,"$26,814,147",97.4%
173,Listy do M.,"$26,923,513",-,-,"$26,923,513",100%
174,A Monster in Paris,"$26,611,650",-,-,"$26,611,650",100%
175,Ivan Tsarevich & the Grey Wolf,"$26,420,475",-,-,"$26,420,475",100%
176,Apollo 18,"$26,236,153","$17,687,709",67.4%,"$8,548,444",32.6%
177,Our Idiot Brother,"$25,804,448","$24,816,118",96.2%,"$988,330",3.8%
178,Eyyvah Eyvah 2,"$24,792,348",-,-,"$24,792,348",100%
179,Ready,"$24,663,361","$955,148",3.9%,"$23,708,213",96.1%
180,In His Chart,"$23,384,864",-,-,"$23,384,864",100%
181,Warrior,"$23,308,615","$13,657,115",58.6%,"$9,651,500",41.4%
182,Hoodwinked Too! Hood vs. Evil,"$23,167,844","$10,143,779",43.8%,"$13,024,065",56.2%
183,Young Adult,"$22,939,027","$16,311,571",71.1%,"$6,627,456",28.9%
184,Andalucia: Revenge of the Goddess,"$22,929,221",-,-,"$22,929,221",100%
185,A Separation,"$22,926,076","$7,099,055",31%,"$15,827,021",69%
186,Qualunquemente,"$22,862,029",-,-,"$22,862,029",100%
187,Friends: Naki on the Monster Island,"$22,537,428",-,-,"$22,537,428",100%
188,Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,"$22,313,925",-,-,"$22,313,925",100%
189,Gooische Vrouwen,"$22,194,574",-,-,"$22,194,574",100%
190,The Immature,"$21,858,834",-,-,"$21,858,834",100%
191,Pleasant Goat and Big Big Wolf 3,"$21,847,806",-,-,"$21,847,806",100%
192,Quick,"$21,561,934",-,-,"$21,561,934",100%
193,K-On! The Movie,"$21,434,003",-,-,"$21,434,003",100%
194,Red Dog,"$21,185,162",-,-,"$21,185,162",100%
195,Vicky and the Treasure of the Gods,"$20,796,153",-,-,"$20,796,153",100%
196,The Front Line,"$20,629,645","$11,018",<0.1%,"$20,618,627",99.9%
197,Polisse,"$20,590,872","$211,440",1%,"$20,379,432",99%
198,Hollywoo,"$20,587,850",-,-,"$20,587,850",100%
199,Scabbard Samurai,"$20,251,745",-,-,"$20,251,745",100%
200,Kaiji 2: The Ultimate Gambler,"$19,971,259",-,-,"$19,971,259",100%
201,O chyom eshchyo govoryat muzhchiny,"$19,705,392",-,-,"$19,705,392",100%
202,The Guard,"$19,561,904","$5,360,274",27.4%,"$14,201,630",72.6%
203,Nisos 2: To kynigi tou hamenou thisavrou,"$19,508,880",-,-,"$19,508,880",100%
204,Margin Call,"$19,504,039","$5,354,039",27.5%,"$14,150,000",72.5%
205,Woman in Love,"$19,302,752",-,-,"$19,302,752",100%
206,Shame,"$19,123,767","$3,909,002",20.4%,"$15,214,765",79.6%
207,Princess Toyotomi,"$19,122,151",-,-,"$19,122,151",100%
208,"Kamen Rider Fourze: Everyone, Space is Here!","$18,982,811",-,-,"$18,982,811",100%
209,Jo Nesbø's Headhunters,"$18,962,444","$1,200,010",6.3%,"$17,762,434",93.7%
210,Spellbound,"$18,875,078",-,-,"$18,875,078",100%
211,Pina,"$18,705,853","$3,524,826",18.8%,"$15,181,027",81.2%
212,Glee: The 3D Concert Movie,"$18,663,238","$11,862,398",63.6%,"$6,800,840",36.4%
213,Sector 7,"$18,618,028",-,-,"$18,618,028",100%
214,Peak: The Rescuers,"$18,536,792",-,-,"$18,536,792",100%
215,"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet","$17,969,314",-,-,"$17,969,314",100%
216,We Have a Pope,"$17,877,523","$548,115",3.1%,"$17,329,408",96.9%
217,Clash of the Families,"$17,748,829",-,-,"$17,748,829",100%
218,Oba: The Last Samurai,"$17,737,092",-,-,"$17,737,092",100%
219,What a Man,"$17,351,247",-,-,"$17,351,247",100%
220,Genji monogatari: Sennen no nazo,"$17,295,465",-,-,"$17,295,465",100%
221,Paradise Kiss,"$17,088,871",-,-,"$17,088,871",100%
222,Melancholia,"$17,039,814","$3,030,848",17.8%,"$14,008,966",82.2%
223,Women Vs Men,"$17,010,026",-,-,"$17,010,026",100%
224,Delhi Belly,"$16,706,074","$1,532,594",9.2%,"$15,173,480",90.8%
225,My Way,"$16,653,488","$70,177",0.4%,"$16,583,311",99.6%
226,Top Cat: The Movie,"$16,611,575",-,-,"$16,611,575",100%
227,One Life,"$16,582,691",-,-,"$16,582,691",100%
228,Kureyon Shinchan: Arashi o yobu ougon no supai daisakusen,"$16,549,790",-,-,"$16,549,790",100%
229,Case départ,"$16,374,243",-,-,"$16,374,243",100%
230,"Kamen Rider OOO, Den-O, & All Riders: Let's Go Kamen Riders","$16,048,109",-,-,"$16,048,109",100%
231,The Client,"$15,780,280",-,-,"$15,780,280",100%
232,Blind,"$15,713,724",-,-,"$15,713,724",100%
233,Judy Moody and the Not Bummer Summer,"$15,691,640","$15,013,650",95.7%,"$677,990",4.3%
234,The Conspirator,"$15,623,183","$11,538,204",73.9%,"$4,084,979",26.1%
235,The Detective Is in the Bar,"$15,404,986",-,-,"$15,404,986",100%
236,Anonymous,"$15,395,087","$4,463,292",29%,"$10,931,795",71%
237,War of the Buttons,"$15,082,409","$47,771",0.3%,"$15,034,638",99.7%
238,Marrying the Mafia 4: Family Ordeal,"$15,029,510",-,-,"$15,029,510",100%
239,Almanya: Welcome to Germany,"$14,885,722",-,-,"$14,885,722",100%
240,Vacanze di Natale a Cortina,"$14,847,186",-,-,"$14,847,186",100%
241,Sluzhebnyy roman. Nashe vremya,"$14,823,830",-,-,"$14,823,830",100%
242,Inazuma Eleven GO the Movie: The Ultimate Bonds Gryphon 2011 Re-release,"$14,673,852",-,-,"$14,673,852",100%
243,Men in the City 2,"$14,663,510",-,-,"$14,663,510",100%
244,Trap.com,"$14,576,408",-,-,"$14,576,408",100%
245,"1,778 Stories of Me and My Wife","$14,436,754",-,-,"$14,436,754",100%
246,The Burma Conspiracy,"$14,404,319",-,-,"$14,404,319",100%
247,Boy s tenyu 3. Posledniy raund,"$14,386,840",-,-,"$14,386,840",100%
248,Titeuf: The Movie,"$14,377,649",-,-,"$14,377,649",100%
249,Ducoboo,"$14,325,401",-,-,"$14,325,401",100%
250,Beginners,"$14,311,701","$5,790,894",40.5%,"$8,520,807",59.5%
251,Seeking Justice,"$14,089,528","$411,746",2.9%,"$13,677,782",97.1%
252,Rebirth,"$14,066,908",-,-,"$14,066,908",100%
253,Lucky Trouble,"$14,005,861",-,-,"$14,005,861",100%
254,Mysterious Island,"$13,969,010",-,-,"$13,969,010",100%
255,I soliti idioti,"$13,927,866",-,-,"$13,927,866",100%
256,The Tuche Family,"$13,867,701",-,-,"$13,867,701",100%
257,Finalmente la felicità,"$13,652,530",-,-,"$13,652,530",100%
258,Love Likes Coincidences,"$13,585,314",-,-,"$13,585,314",100%
259,Bienvenue à bord,"$13,264,865",-,-,"$13,264,865",100%
260,The Well Digger's Daughter,"$13,194,167","$386,368",2.9%,"$12,807,799",97.1%
261,Le Havre,"$12,959,706","$611,709",4.7%,"$12,347,997",95.3%
262,Madang Amtark,"$12,778,833",-,-,"$12,778,833",100%
263,Valley of the Wolves: Palestine,"$12,732,423",-,-,"$12,732,423",100%
264,The Worst Week of My Life 2011 Re-release,"$12,628,562",-,-,"$12,628,562",100%
265,Glove,"$12,569,995",-,-,"$12,569,995",100%
266,The Ages of Love,"$12,493,369",-,-,"$12,493,369",100%
267,Second Chance,"$12,481,191",-,-,"$12,481,191",100%
268,Confessions of a Brazilian Call Girl,"$12,380,488",-,-,"$12,380,488",100%
269,War of the Buttons,"$12,326,773",-,-,"$12,326,773",100%
270,Children...,"$12,229,392",-,-,"$12,229,392",100%
271,Tomorrow's Joe,"$12,208,614",-,-,"$12,208,614",100%
272,Satyagraha,"$12,161,138",-,-,"$12,161,138",100%
273,Barney's Version,"$12,104,765","$4,439,201",36.7%,"$7,665,564",63.3%
274,Eine ganz heiße Nummer,"$11,989,112",-,-,"$11,989,112",100%
275,Mere Brother Ki Dulhan,"$11,983,381","$496,172",4.1%,"$11,487,209",95.9%
276,This Must Be the Place,"$11,928,909","$143,979",1.2%,"$11,784,930",98.8%
277,Blitz,"$11,895,069",-,-,"$11,895,069",100%
278,The Warring States,"$11,868,961","$68,961",0.6%,"$11,800,000",99.4%
279,Wo zhi nv ren xin,"$11,838,177","$123,526",1%,"$11,714,651",99%
280,Win Win,"$11,789,613","$10,179,275",86.3%,"$1,610,338",13.7%
281,Federal Bank Heist,"$11,618,444",-,-,"$11,618,444",100%
282,Delicacy,"$11,597,420","$498,584",4.3%,"$11,098,836",95.7%
283,Escort in Love,"$11,471,250",-,-,"$11,471,250",100%
284,Double Dhamaal,"$11,445,869","$543,646",4.7%,"$10,902,223",95.3%
285,Pyungyangsung,"$11,427,627",-,-,"$11,427,627",100%
286,Snow Flower and the Secret Fan,"$11,348,205","$1,348,205",11.9%,"$10,000,000",88.1%
287,Chuchangmin,"$11,102,663",-,-,"$11,102,663",100%
288,Horrid Henry: The Movie,"$11,045,966",-,-,"$11,045,966",100%
289,Nova Zembla,"$10,987,361",-,-,"$10,987,361",100%
290,The Best Movie 3-DE,"$10,959,765",-,-,"$10,959,765",100%
291,Chinese Take-Out,"$10,911,008",-,-,"$10,911,008",100%
292,Eiga Suîto Purikyua: Torimodose! Kokoro ga tsunagu kiseki no merodi,"$10,871,826",-,-,"$10,871,826",100%
293,Eiga Purikyua ôru sutâzu DX 3: Mirai ni todoke! Sekai o tsunagu nijiiro no hana,"$10,866,071",-,-,"$10,866,071",100%
294,Flying Monsters 3D with David Attenborough,"$10,813,862","$5,705,874",52.8%,"$5,107,988",47.2%
295,Ninja Kids!!!,"$10,776,262",-,-,"$10,776,262",100%
296,Gokaiger Goseiger Super Sentai 199 Hero Great Battle,"$10,758,185",-,-,"$10,758,185",100%
297,Prom,"$10,702,246","$10,130,219",94.7%,"$572,027",5.3%
298,Buddha Mountain,"$10,673,606",-,-,"$10,673,606",100%
299,Drucker in the Dugout,"$10,569,460",-,-,"$10,569,460",100%
300,Jo's Boy,"$10,479,322",-,-,"$10,479,322",100%
301,"Och, Karol 2","$10,455,379",-,-,"$10,455,379",100%
302,3-D Sex and Zen: Extreme Ecstasy,"$10,306,807","$153,215",1.5%,"$10,153,592",98.5%
303,Star Watching Dog,"$10,298,964",-,-,"$10,298,964",100%
304,Les Lyonnais,"$10,249,599",-,-,"$10,249,599",100%
305,I Love Hong Kong,"$10,219,319",-,-,"$10,219,319",100%
306,Mr. and Mrs. Incredible,"$10,131,360",-,-,"$10,131,360",100%
307,My SO Has Got Depression,"$10,127,426",-,-,"$10,127,426",100%
308,Trespass,"$10,117,966","$24,094",0.2%,"$10,093,872",99.8%
309,Moskova'nin Sifresi Temel,"$9,819,518",-,-,"$9,819,518",100%
310,Hysteria,"$9,584,256","$1,804,139",18.8%,"$7,780,117",81.2%
311,Kochikame - The Movie: Save the Kachidiki Bridge!,"$9,584,129",-,-,"$9,584,129",100%
312,"Wanko: The Story of Me, My Family and Rock","$9,528,275",-,-,"$9,528,275",100%
313,Kirikou and the Men and Women,"$9,442,887",-,-,"$9,442,887",100%
314,New Kids Nitro,"$9,428,100",-,-,"$9,428,100",100%
315,Saving Private Perez,"$9,330,465","$1,400,726",15%,"$7,929,739",85%
316,We Need to Talk About Kevin,"$9,232,318","$1,738,692",18.8%,"$7,493,626",81.2%
317,My Piece of the Pie,"$9,123,187","$6,850",<0.1%,"$9,116,337",99.9%
318,Murder 2,"$9,078,349","$59,000",0.6%,"$9,019,349",99.4%
319,Naruto Shippuden the Movie: Blood Prison,"$9,065,101",-,-,"$9,065,101",100%
320,Dog × Police: The K-9 Force,"$8,976,044",-,-,"$8,976,044",100%
321,Perfect Game,"$8,960,806",-,-,"$8,960,806",100%
322,Allah'ýn sevdiði kulun,"$8,797,985",-,-,"$8,797,985",100%
323,Mientras duermes,"$8,791,590",-,-,"$8,791,590",100%
324,Lilly the Witch: The Journey to Mandolan,"$8,787,410",-,-,"$8,787,410",100%
325,Honey 2,"$8,775,693",-,-,"$8,775,693",100%
326,Slapstick Brothers,"$8,747,994",-,-,"$8,747,994",100%
327,Aarakshan,"$8,726,551","$651,096",7.5%,"$8,075,455",92.5%
328,Kikoriki: Team Invincible,"$8,545,653",-,-,"$8,545,653",100%
329,Battle of Warsaw 1920,"$8,417,043",-,-,"$8,417,043",100%
330,Toriko 3D: Kaimaku! Gurume adobenchâ!,"$8,410,203",-,-,"$8,410,203",100%
331,Beremennyy,"$8,297,966",-,-,"$8,297,966",100%
332,My Worst Nightmare,"$8,226,544","$21,952",0.3%,"$8,204,592",99.7%
333,Cave of Forgotten Dreams,"$8,183,347","$5,304,920",64.8%,"$2,878,427",35.2%
334,The Big Year,"$8,179,416","$7,204,138",88.1%,"$975,278",11.9%
335,The Company Men,"$8,087,000","$4,441,272",54.9%,"$3,645,728",45.1%
336,Qualquer Gato Vira-Lata,"$7,856,048",-,-,"$7,856,048",100%
337,It May Be Love But It Doesn't Show,"$7,855,434",-,-,"$7,855,434",100%
338,The Lady,"$7,832,142","$355,391",4.5%,"$7,476,751",95.5%
339,Little Big Panda,"$7,812,864",-,-,"$7,812,864",100%
340,False Trail,"$7,778,326",-,-,"$7,778,326",100%
341,Cedar Rapids,"$7,728,936","$6,861,102",88.8%,"$867,834",11.2%
