Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%
2,Skyfall,"$1,108,561,013","$304,360,277",27.5%,"$804,200,736",72.5%
3,The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.5%,"$632,902,188",58.5%
4,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%
5,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%
6,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.2%,"$537,422,083",64.8%
7,The Amazing Spider-Man,"$757,930,663","$262,030,663",34.6%,"$495,900,000",65.4%
8,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%
9,The Hunger Games,"$694,394,724","$408,010,692",58.8%,"$286,384,032",41.2%
10,Men in Black 3,"$624,026,776","$179,020,854",28.7%,"$445,005,922",71.3%
11,Life of Pi,"$609,016,565","$124,987,023",20.5%,"$484,029,542",79.5%
12,Ted,"$549,368,315","$218,815,487",39.8%,"$330,552,828",60.2%
13,Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%
14,Wreck-It Ralph,"$471,222,889","$189,422,889",40.2%,"$281,800,000",59.8%
15,Les Misérables,"$441,809,770","$148,809,770",33.7%,"$293,000,000",66.3%
16,Django Unchained,"$425,368,238","$162,805,434",38.3%,"$262,562,804",61.7%
17,Prometheus,"$403,354,469","$126,477,084",31.4%,"$276,877,385",68.6%
18,Snow White and the Huntsman,"$396,592,829","$155,332,381",39.2%,"$241,260,448",60.8%
19,Taken 2,"$376,141,306","$139,854,287",37.2%,"$236,287,019",62.8%
20,Hotel Transylvania,"$358,375,603","$148,313,048",41.4%,"$210,062,555",58.6%
21,Titanic 2012 3D Release,"$350,449,521","$57,884,114",16.5%,"$292,565,407",83.5%
22,The Lorax,"$348,840,316","$214,030,500",61.4%,"$134,809,816",38.6%
23,Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%
24,The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%
25,Rise of the Guardians,"$306,941,670","$103,412,758",33.7%,"$203,528,912",66.3%
26,Battleship,"$303,025,485","$65,422,625",21.6%,"$237,602,860",78.4%
27,Wrath of the Titans,"$301,970,083","$83,670,083",27.7%,"$218,300,000",72.3%
28,John Carter,"$284,139,100","$73,078,100",25.7%,"$211,061,000",74.3%
29,The Bourne Legacy,"$276,144,750","$113,203,870",41%,"$162,940,880",59%
30,Lincoln,"$275,293,450","$182,207,973",66.2%,"$93,085,477",33.8%
31,We're the Millers,"$269,994,119","$150,394,119",55.7%,"$119,600,000",44.3%
32,Dark Shadows,"$245,527,149","$79,727,149",32.5%,"$165,800,000",67.5%
33,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%
34,Silver Linings Playbook,"$236,412,453","$132,092,958",55.9%,"$104,319,495",44.1%
35,American Reunion,"$234,989,584","$57,011,521",24.3%,"$177,978,063",75.7%
36,Argo,"$232,325,503","$136,025,503",58.5%,"$96,300,000",41.5%
37,Jack Reacher,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%
38,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%
39,21 Jump Street,"$201,585,328","$138,447,667",68.7%,"$63,137,661",31.3%
40,Total Recall,"$198,467,168","$58,877,969",29.7%,"$139,589,199",70.3%
41,The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4%
42,Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%
43,The Vow,"$196,114,570","$125,014,030",63.7%,"$71,100,540",36.3%
44,Mirror Mirror,"$183,018,522","$64,935,167",35.5%,"$118,083,355",64.5%
45,The Dictator,"$179,379,533","$59,650,222",33.3%,"$119,729,311",66.7%
46,Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%
47,Chinese Zodiac,"$170,525,083",-,-,"$170,525,083",100%
48,Magic Mike,"$167,739,368","$113,721,571",67.8%,"$54,017,797",32.2%
49,Flight,"$161,772,375","$93,772,375",58%,"$68,000,000",42%
50,Underworld: Awakening,"$160,112,671","$62,321,039",38.9%,"$97,791,632",61.1%
51,This Means War,"$156,491,279","$54,760,791",35%,"$101,730,488",65%
52,Paranormal Activity 4,"$142,802,657","$53,885,000",37.7%,"$88,917,657",62.3%
53,Step Up Revolution,"$140,470,746","$35,074,677",25%,"$105,396,069",75%
54,The Best Exotic Marigold Hotel,"$136,836,156","$46,412,041",33.9%,"$90,424,115",66.1%
55,The Wind Rises,"$136,454,220","$5,209,580",3.8%,"$131,244,640",96.2%
